날짜,요일,홈,방문,구장,관중수
2017/03/31,금,두산,한화,잠실,"21,121"
2017/04/01,토,두산,한화,잠실,"20,636"
2017/04/02,일,두산,한화,잠실,"22,457"
2017/04/04,화,LG,삼성,잠실,"16,411"
2017/04/06,목,LG,삼성,잠실,"12,166"
2017/04/07,금,두산,넥센,잠실,"10,027"
2017/04/08,토,두산,넥센,잠실,"15,278"
2017/04/09,일,두산,넥센,잠실,"13,177"
2017/04/11,화,두산,KIA,잠실,"14,895"
2017/04/12,수,두산,KIA,잠실,"13,649"
2017/04/13,목,두산,KIA,잠실,"16,213"
2017/04/14,금,LG,KT,잠실,"9,710"
2017/04/15,토,LG,KT,잠실,"17,337"
2017/04/16,일,LG,KT,잠실,"15,224"
2017/04/18,화,두산,삼성,잠실,"6,391"
2017/04/19,수,두산,삼성,잠실,"8,062"
2017/04/20,목,두산,삼성,잠실,"8,509"
2017/04/21,금,LG,KIA,잠실,"23,263"
2017/04/22,토,LG,KIA,잠실,"25,000"
2017/04/23,일,LG,KIA,잠실,"25,000"
2017/04/25,화,LG,SK,잠실,"10,004"
2017/04/26,수,LG,SK,잠실,"10,730"
2017/04/27,목,LG,SK,잠실,"11,111"
2017/04/28,금,두산,롯데,잠실,"22,131"
2017/04/29,토,두산,롯데,잠실,"25,000"
2017/04/30,일,두산,롯데,잠실,"25,000"
2017/05/02,화,LG,NC,잠실,"14,887"
2017/05/03,수,LG,NC,잠실,"20,180"
2017/05/04,목,LG,NC,잠실,"18,843"
2017/05/05,금,두산,LG,잠실,"25,000"
2017/05/06,토,두산,LG,잠실,"21,920"
2017/05/07,일,두산,LG,잠실,"21,273"
2017/05/10,수,두산,SK,잠실,"7,516"
2017/05/11,목,두산,SK,잠실,"8,531"
2017/05/12,금,LG,한화,잠실,"20,357"
2017/05/13,토,LG,한화,잠실,"22,063"
2017/05/14,일,LG,한화,잠실,"24,223"
2017/05/16,화,두산,NC,잠실,"9,078"
2017/05/17,수,두산,NC,잠실,"9,290"
2017/05/18,목,두산,NC,잠실,"10,104"
2017/05/19,금,LG,롯데,잠실,"19,653"
2017/05/20,토,LG,롯데,잠실,"23,898"
2017/05/21,일,LG,롯데,잠실,"22,054"
2017/05/24,수,LG,두산,잠실,"20,334"
2017/05/25,목,LG,두산,잠실,"20,442"
2017/05/26,금,두산,KT,잠실,"12,763"
2017/05/27,토,두산,KT,잠실,"20,177"
2017/05/28,일,두산,KT,잠실,"15,159"
2017/05/30,화,LG,넥센,잠실,"9,520"
2017/05/31,수,LG,넥센,잠실,"10,290"
2017/06/01,목,LG,넥센,잠실,"10,720"
2017/06/02,금,LG,NC,잠실,"11,227"
2017/06/03,토,LG,NC,잠실,"19,180"
2017/06/04,일,LG,NC,잠실,"14,832"
2017/06/06,화,두산,삼성,잠실,"21,253"
2017/06/07,수,두산,삼성,잠실,"9,149"
2017/06/08,목,두산,삼성,잠실,"10,260"
2017/06/09,금,LG,SK,잠실,"11,023"
2017/06/10,토,LG,SK,잠실,"18,293"
2017/06/11,일,LG,SK,잠실,"13,837"
2017/06/13,화,두산,LG,잠실,"14,565"
2017/06/14,수,두산,LG,잠실,"16,136"
2017/06/15,목,두산,LG,잠실,"16,791"
2017/06/16,금,두산,NC,잠실,"10,226"
2017/06/17,토,두산,NC,잠실,"18,215"
2017/06/18,일,두산,NC,잠실,"13,271"
2017/06/20,화,LG,삼성,잠실,"13,098"
2017/06/21,수,LG,삼성,잠실,"13,250"
2017/06/22,목,LG,삼성,잠실,"14,197"
2017/06/23,금,두산,롯데,잠실,"16,262"
2017/06/24,토,두산,롯데,잠실,"22,406"
2017/06/25,일,두산,롯데,잠실,"13,870"
2017/06/27,화,두산,SK,잠실,"8,079"
2017/06/28,수,두산,SK,잠실,"7,887"
2017/06/29,목,두산,SK,잠실,"10,129"
2017/06/30,금,LG,KIA,잠실,"24,204"
2017/07/01,토,LG,KIA,잠실,"25,000"
2017/07/02,일,LG,KIA,잠실,"19,697"
2017/07/04,화,두산,KT,잠실,"5,747"
2017/07/05,수,두산,KT,잠실,"6,148"
2017/07/08,토,LG,한화,잠실,"18,714"
2017/07/09,일,LG,한화,잠실,"22,129"
2017/07/11,화,두산,넥센,잠실,"7,015"
2017/07/12,수,두산,넥센,잠실,"6,126"
2017/07/13,목,두산,넥센,잠실,"7,739"
2017/07/18,화,LG,KT,잠실,"7,361"
2017/07/19,수,LG,KT,잠실,"7,713"
2017/07/20,목,LG,KT,잠실,"7,776"
2017/07/21,금,두산,한화,잠실,"13,564"
2017/07/22,토,두산,한화,잠실,"18,746"
2017/07/23,일,두산,한화,잠실,"11,307"
2017/07/25,화,LG,넥센,잠실,"8,130"
2017/07/26,수,LG,넥센,잠실,"8,292"
2017/07/27,목,LG,넥센,잠실,"9,443"
2017/07/28,금,두산,KIA,잠실,"23,112"
2017/07/29,토,두산,KIA,잠실,"25,000"
2017/07/30,일,두산,KIA,잠실,"25,000"
2017/08/01,화,LG,롯데,잠실,"16,971"
2017/08/02,수,LG,롯데,잠실,"15,796"
2017/08/03,목,LG,롯데,잠실,"15,429"
2017/08/04,금,LG,두산,잠실,"20,144"
2017/08/05,토,LG,두산,잠실,"22,428"
2017/08/06,일,LG,두산,잠실,"17,714"
2017/08/08,화,두산,한화,잠실,"13,985"
2017/08/09,수,두산,한화,잠실,"15,137"
2017/08/10,목,LG,SK,잠실,"7,755"
2017/08/11,금,LG,SK,잠실,"9,598"
