date,weekday,weekend,rainy,mean_c,O3,PM10,PM25
2017/01/01,Sunday,1.0,0.0,2.5,0.004,64.0,49.0
2017/01/02,Monday,0.0,1.0,5.5,0.017,93.0,64.0
2017/01/03,Tuesday,0.0,0.0,3.0,0.017,76.0,47.0
2017/01/04,Wednesday,0.0,0.0,5.0,0.008,55.0,33.0
2017/01/05,Thursday,0.0,0.0,3.5,0.014,31.0,19.0
2017/01/06,Friday,0.0,0.0,7.0,0.016,22.0,13.0
2017/01/07,Saturday,1.0,0.0,5.5,0.005,48.0,31.0
2017/01/08,Sunday,1.0,1.0,7.5,0.017,28.0,20.0
2017/01/09,Monday,0.0,1.0,0.5,0.032,57.0,41.0
2017/01/10,Tuesday,0.0,0.0,-3.0,0.027000000000000003,30.0,13.0
2017/01/11,Wednesday,0.0,0.0,-3.5,0.019,24.0,10.0
2017/01/12,Thursday,0.0,1.0,-2.5,0.018000000000000002,33.0,14.0
2017/01/13,Friday,0.0,1.0,-5.0,0.026,40.0,11.0
2017/01/14,Saturday,1.0,0.0,-8.0,0.028,47.0,10.0
2017/01/15,Sunday,1.0,0.0,-6.5,0.018000000000000002,27.0,13.0
2017/01/16,Monday,0.0,0.0,-2.5,0.006,58.0,31.0
2017/01/17,Tuesday,0.0,0.0,-2.0,0.003,66.0,43.0
2017/01/18,Wednesday,0.0,1.0,0.0,0.003,94.0,68.0
2017/01/19,Thursday,0.0,0.0,0.0,0.004,105.0,65.0
2017/01/20,Friday,0.0,1.0,-4.5,0.017,53.0,32.0
2017/01/21,Saturday,1.0,1.0,-5.5,0.006999999999999999,54.0,36.0
2017/01/22,Sunday,1.0,1.0,-7.0,0.032,78.0,23.0
2017/01/23,Monday,0.0,0.0,-8.5,0.024,45.0,30.0
2017/01/24,Tuesday,0.0,0.0,-6.5,0.011,43.0,29.0
2017/01/25,Wednesday,0.0,0.0,-4.5,0.006999999999999999,54.0,39.0
2017/01/26,Thursday,0.0,1.0,-2.5,0.01,64.0,45.0
2017/01/27,Friday,1.0,1.0,-1.5,0.03,126.0,17.0
2017/01/28,Saturday,1.0,0.0,-2.0,0.012,36.0,12.0
2017/01/29,Sunday,1.0,1.0,1.0,0.005,24.0,13.0
2017/01/30,Monday,1.0,1.0,-4.5,0.029,49.0,30.0
2017/01/31,Tuesday,0.0,0.0,-5.0,0.006999999999999999,34.0,20.0
2017/02/01,Wednesday,0.0,0.0,-3.5,0.016,39.0,20.0
2017/02/02,Thursday,0.0,0.0,-3.0,0.015,35.0,15.0
2017/02/03,Friday,0.0,0.0,2.5,0.02,64.0,40.0
2017/02/04,Saturday,1.0,0.0,0.0,0.004,94.0,63.0
2017/02/05,Sunday,1.0,1.0,0.0,0.018000000000000002,60.0,46.0
2017/02/06,Monday,0.0,0.0,-0.5,0.032,40.0,24.0
2017/02/07,Tuesday,0.0,0.0,-1.5,0.008,43.0,22.0
2017/02/08,Wednesday,0.0,0.0,-2.0,0.008,61.0,32.0
2017/02/09,Thursday,0.0,0.0,-4.5,0.03,54.0,16.0
2017/02/10,Friday,0.0,0.0,-6.0,0.032,33.0,15.0
2017/02/11,Saturday,1.0,0.0,-4.0,0.028,29.0,14.0
2017/02/12,Sunday,1.0,0.0,-1.5,0.02,31.0,17.0
2017/02/13,Monday,0.0,0.0,0.5,0.006999999999999999,47.0,26.0
2017/02/14,Tuesday,0.0,0.0,1.5,0.013,51.0,29.0
2017/02/15,Wednesday,0.0,0.0,2.0,0.008,66.0,40.0
