date,weekday,datename,weekend
2017-01-01,Sunday,신정,1.0
2017-01-02,Monday,,
2017-01-03,Tuesday,,
2017-01-04,Wednesday,,
2017-01-05,Thursday,,
2017-01-06,Friday,,
2017-01-07,Saturday,,1.0
2017-01-08,Sunday,,1.0
2017-01-09,Monday,,
2017-01-10,Tuesday,,
2017-01-11,Wednesday,,
2017-01-12,Thursday,,
2017-01-13,Friday,,
2017-01-14,Saturday,,1.0
2017-01-15,Sunday,,1.0
2017-01-16,Monday,,
2017-01-17,Tuesday,,
2017-01-18,Wednesday,,
2017-01-19,Thursday,,
2017-01-20,Friday,,
2017-01-21,Saturday,,1.0
2017-01-22,Sunday,,1.0
2017-01-23,Monday,,
2017-01-24,Tuesday,,
2017-01-25,Wednesday,,
2017-01-26,Thursday,,
2017-01-27,Friday,설날,1.0
2017-01-28,Saturday,설날,1.0
2017-01-29,Sunday,설날,1.0
2017-01-30,Monday,대체공휴일,1.0
2017-01-31,Tuesday,,
2017-02-01,Wednesday,,
2017-02-02,Thursday,,
2017-02-03,Friday,,
2017-02-04,Saturday,,1.0
2017-02-05,Sunday,,1.0
2017-02-06,Monday,,
2017-02-07,Tuesday,,
2017-02-08,Wednesday,,
2017-02-09,Thursday,,
2017-02-10,Friday,,
2017-02-11,Saturday,,1.0
2017-02-12,Sunday,,1.0
2017-02-13,Monday,,
2017-02-14,Tuesday,,
2017-02-15,Wednesday,,
2017-02-16,Thursday,,
2017-02-17,Friday,,
2017-02-18,Saturday,,1.0
2017-02-19,Sunday,,1.0
2017-02-20,Monday,,
2017-02-21,Tuesday,,
2017-02-22,Wednesday,,
2017-02-23,Thursday,,
2017-02-24,Friday,,
2017-02-25,Saturday,,1.0
2017-02-26,Sunday,,1.0
2017-02-27,Monday,,
2017-02-28,Tuesday,,
2017-03-01,Wednesday,삼일절,1.0
2017-03-02,Thursday,,
2017-03-03,Friday,,
2017-03-04,Saturday,,1.0
2017-03-05,Sunday,,1.0
2017-03-06,Monday,,
2017-03-07,Tuesday,,
2017-03-08,Wednesday,,
2017-03-09,Thursday,,
2017-03-10,Friday,,
2017-03-11,Saturday,,1.0
2017-03-12,Sunday,,1.0
2017-03-13,Monday,,
2017-03-14,Tuesday,,
2017-03-15,Wednesday,,
2017-03-16,Thursday,,
2017-03-17,Friday,,
2017-03-18,Saturday,,1.0
2017-03-19,Sunday,,1.0
2017-03-20,Monday,,
2017-03-21,Tuesday,,
2017-03-22,Wednesday,,
2017-03-23,Thursday,,
2017-03-24,Friday,,
2017-03-25,Saturday,,1.0
2017-03-26,Sunday,,1.0
2017-03-27,Monday,,
2017-03-28,Tuesday,,
2017-03-29,Wednesday,,
2017-03-30,Thursday,,
2017-03-31,Friday,,
2017-04-01,Saturday,,1.0
2017-04-02,Sunday,,1.0
2017-04-03,Monday,,
2017-04-04,Tuesday,,
2017-04-05,Wednesday,,
2017-04-06,Thursday,,
2017-04-07,Friday,,
2017-04-08,Saturday,,1.0
2017-04-09,Sunday,,1.0
2017-04-10,Monday,,
2017-04-11,Tuesday,,
2017-04-12,Wednesday,,
2017-04-13,Thursday,,
2017-04-14,Friday,,
2017-04-15,Saturday,,1.0
2017-04-16,Sunday,,1.0
2017-04-17,Monday,,
2017-04-18,Tuesday,,
2017-04-19,Wednesday,,
2017-04-20,Thursday,,
2017-04-21,Friday,,
2017-04-22,Saturday,,1.0
2017-04-23,Sunday,,1.0
2017-04-24,Monday,,
2017-04-25,Tuesday,,
2017-04-26,Wednesday,,
2017-04-27,Thursday,,
2017-04-28,Friday,,
2017-04-29,Saturday,,1.0
2017-04-30,Sunday,,1.0
2017-05-01,Monday,,
2017-05-02,Tuesday,,
2017-05-03,Wednesday,석가탄신일,1.0
2017-05-04,Thursday,,
2017-05-05,Friday,어린이날,1.0
2017-05-06,Saturday,,1.0
2017-05-07,Sunday,,1.0
2017-05-08,Monday,,
2017-05-09,Tuesday,대통령선거일,1.0
2017-05-10,Wednesday,,
2017-05-11,Thursday,,
2017-05-12,Friday,,
2017-05-13,Saturday,,1.0
2017-05-14,Sunday,,1.0
2017-05-15,Monday,,
2017-05-16,Tuesday,,
2017-05-17,Wednesday,,
2017-05-18,Thursday,,
2017-05-19,Friday,,
2017-05-20,Saturday,,1.0
2017-05-21,Sunday,,1.0
2017-05-22,Monday,,
2017-05-23,Tuesday,,
2017-05-24,Wednesday,,
2017-05-25,Thursday,,
2017-05-26,Friday,,
2017-05-27,Saturday,,1.0
2017-05-28,Sunday,,1.0
2017-05-29,Monday,,
2017-05-30,Tuesday,,
2017-05-31,Wednesday,,
2017-06-01,Thursday,,
2017-06-02,Friday,,
2017-06-03,Saturday,,1.0
2017-06-04,Sunday,,1.0
2017-06-05,Monday,,
2017-06-06,Tuesday,현충일,1.0
2017-06-07,Wednesday,,
2017-06-08,Thursday,,
2017-06-09,Friday,,
2017-06-10,Saturday,,1.0
2017-06-11,Sunday,,1.0
2017-06-12,Monday,,
2017-06-13,Tuesday,,
2017-06-14,Wednesday,,
2017-06-15,Thursday,,
2017-06-16,Friday,,
2017-06-17,Saturday,,1.0
2017-06-18,Sunday,,1.0
2017-06-19,Monday,,
2017-06-20,Tuesday,,
2017-06-21,Wednesday,,
2017-06-22,Thursday,,
2017-06-23,Friday,,
2017-06-24,Saturday,,1.0
2017-06-25,Sunday,,1.0
2017-06-26,Monday,,
2017-06-27,Tuesday,,
2017-06-28,Wednesday,,
2017-06-29,Thursday,,
2017-06-30,Friday,,
2017-07-01,Saturday,,1.0
2017-07-02,Sunday,,1.0
2017-07-03,Monday,,
2017-07-04,Tuesday,,
2017-07-05,Wednesday,,
2017-07-06,Thursday,,
2017-07-07,Friday,,
2017-07-08,Saturday,,1.0
2017-07-09,Sunday,,1.0
