,날짜,행정구,맑음,눈/비,min_c,max_c
0,20170101,송파구,1,0,-2.0,7.0
1,20170101,송파구,1,0,-2.0,7.0
2,20170102,송파구,0,1,2.0,9.0
3,20170102,송파구,0,1,2.0,9.0
4,20170103,송파구,1,0,-2.0,8.0
5,20170103,송파구,1,0,-2.0,8.0
6,20170104,송파구,1,0,1.0,9.0
7,20170104,송파구,1,0,1.0,9.0
8,20170105,송파구,1,0,0.0,7.0
9,20170105,송파구,1,0,0.0,7.0
10,20170106,송파구,1,0,3.0,11.0
11,20170106,송파구,1,0,3.0,11.0
12,20170107,송파구,1,0,0.0,11.0
13,20170107,송파구,1,0,0.0,11.0
14,20170108,송파구,0,1,4.0,11.0
15,20170108,송파구,0,1,4.0,11.0
16,20170109,송파구,0,1,-3.0,4.0
17,20170109,송파구,0,1,-3.0,4.0
18,20170110,송파구,1,0,-7.0,1.0
19,20170110,송파구,1,0,-7.0,1.0
20,20170111,송파구,1,0,-9.0,2.0
21,20170111,송파구,1,0,-9.0,2.0
22,20170112,송파구,0,1,-6.0,1.0
23,20170112,송파구,0,1,-6.0,1.0
24,20170113,송파구,0,1,-9.0,-1.0
25,20170113,송파구,0,1,-9.0,-1.0
26,20170114,송파구,1,0,-11.0,-5.0
27,20170114,송파구,1,0,-11.0,-5.0
28,20170115,송파구,1,0,-12.0,-1.0
29,20170115,송파구,1,0,-12.0,-1.0
30,20170116,송파구,1,0,-9.0,4.0
31,20170116,송파구,1,0,-9.0,4.0
32,20170117,송파구,1,0,-7.0,3.0
33,20170117,송파구,1,0,-7.0,3.0
34,20170118,송파구,0,1,-3.0,3.0
35,20170118,송파구,0,1,-3.0,3.0
36,20170119,송파구,1,0,-5.0,5.0
37,20170119,송파구,1,0,-5.0,5.0
38,20170120,송파구,0,1,-8.0,-1.0
39,20170120,송파구,0,1,-8.0,-1.0
40,20170121,송파구,0,1,-10.0,-1.0
41,20170121,송파구,0,1,-10.0,-1.0
42,20170122,송파구,0,1,-11.0,-3.0
43,20170122,송파구,0,1,-11.0,-3.0
44,20170123,송파구,1,0,-13.0,-4.0
