,MSRDT_DE,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
22,20170101,송파구,0.04,0.004,1.2,0.005,64.0,49.0
61,20170102,송파구,0.037000000000000005,0.017,1.0,0.005,93.0,64.0
100,20170103,송파구,0.038,0.017,0.9,0.006,76.0,47.0
139,20170104,송파구,0.047,0.008,1.1,0.006,55.0,33.0
178,20170105,송파구,0.032,0.013999999999999999,0.8,0.006,31.0,19.0
217,20170106,송파구,0.032,0.016,0.6,0.005,22.0,13.0
256,20170107,송파구,0.044000000000000004,0.005,1.0,0.006,48.0,31.0
295,20170108,송파구,0.032,0.017,0.7,0.004,28.0,20.0
334,20170109,송파구,0.02,0.032,0.7,0.005,57.0,41.0
373,20170110,송파구,0.018000000000000002,0.027000000000000003,0.4,0.005,30.0,13.0
412,20170111,송파구,0.026000000000000002,0.019,0.4,0.004,24.0,10.0
451,20170112,송파구,0.027999999999999997,0.018000000000000002,0.6,0.005,33.0,14.0
490,20170113,송파구,0.018000000000000002,0.026000000000000002,0.4,0.004,40.0,11.0
529,20170114,송파구,0.012,0.027999999999999997,0.3,0.005,47.0,10.0
568,20170115,송파구,0.021,0.018000000000000002,0.4,0.004,27.0,13.0
607,20170116,송파구,0.042,0.006,1.0,0.006,58.0,31.0
646,20170117,송파구,0.057,0.003,1.4,0.008,66.0,43.0
685,20170118,송파구,0.065,0.003,1.6,0.008,94.0,68.0
724,20170119,송파구,0.057999999999999996,0.004,1.3,0.006,105.0,65.0
763,20170120,송파구,0.035,0.017,0.6,0.005,53.0,32.0
802,20170121,송파구,0.044000000000000004,0.006999999999999999,0.8,0.005,54.0,36.0
841,20170122,송파구,0.013999999999999999,0.032,0.5,0.006,78.0,23.0
880,20170123,송파구,0.025,0.024,0.5,0.005,45.0,30.0
919,20170124,송파구,0.045,0.011000000000000001,0.8,0.006,43.0,29.0
958,20170125,송파구,0.057999999999999996,0.006999999999999999,1.1,0.006,54.0,39.0
997,20170126,송파구,0.057999999999999996,0.01,1.2,0.006999999999999999,64.0,45.0
1036,20170127,송파구,0.016,0.03,0.5,0.004,126.0,17.0
1075,20170128,송파구,0.031,0.012,0.6,0.005,36.0,12.0
1114,20170129,송파구,0.035,0.005,0.7,0.005,24.0,13.0
1153,20170130,송파구,0.017,0.028999999999999998,0.5,0.005,49.0,30.0
1192,20170131,송파구,0.042,0.006999999999999999,0.7,0.004,34.0,20.0
1231,20170201,송파구,0.035,0.016,0.9,0.005,39.0,20.0
1270,20170202,송파구,0.036000000000000004,0.015,0.6,0.004,35.0,15.0
1309,20170203,송파구,0.045,0.02,0.9,0.006,64.0,40.0
1348,20170204,송파구,0.06,0.004,1.3,0.005,94.0,63.0
1387,20170205,송파구,0.037000000000000005,0.018000000000000002,0.9,0.005,60.0,46.0
1426,20170206,송파구,0.022000000000000002,0.032,0.5,0.005,40.0,24.0
1465,20170207,송파구,0.044000000000000004,0.008,0.7,0.005,43.0,22.0
1504,20170208,송파구,0.048,0.008,0.9,0.006,61.0,32.0
1543,20170209,송파구,0.017,0.03,0.4,0.004,54.0,16.0
1582,20170210,송파구,0.013999999999999999,0.032,0.4,0.004,33.0,15.0
1621,20170211,송파구,0.017,0.027999999999999997,0.3,0.005,29.0,14.0
1660,20170212,송파구,0.027999999999999997,0.02,0.6,0.005,31.0,17.0
1699,20170213,송파구,0.05,0.006999999999999999,0.9,0.005,47.0,26.0
1738,20170214,송파구,0.045,0.013000000000000001,0.8,0.005,51.0,29.0
1777,20170215,송파구,0.061,0.008,1.1,0.008,66.0,40.0
1816,20170216,송파구,0.054000000000000006,0.015,1.1,0.006999999999999999,69.0,44.0
1855,20170217,송파구,0.021,0.028999999999999998,0.4,0.004,48.0,18.0
1894,20170218,송파구,0.023,0.03,0.4,0.004,32.0,18.0
1933,20170219,송파구,0.033,0.022000000000000002,0.6,0.005,42.0,27.0
1972,20170220,송파구,0.018000000000000002,0.034,0.4,0.004,44.0,26.0
2011,20170221,송파구,0.04,0.016,0.6,0.005,47.0,33.0
2050,20170222,송파구,0.043,0.008,0.8,0.005,40.0,29.0
2089,20170223,송파구,0.017,0.037000000000000005,0.4,0.005,35.0,24.0
2128,20170224,송파구,0.027000000000000003,0.027999999999999997,0.5,0.005,27.0,18.0
2167,20170225,송파구,0.038,0.021,0.7,0.005,42.0,33.0
2206,20170226,송파구,0.031,0.023,0.7,0.005,40.0,28.0
2245,20170227,송파구,0.044000000000000004,0.013999999999999999,0.8,0.006,45.0,29.0
2284,20170228,송파구,0.053,0.017,0.8,0.006999999999999999,51.0,31.0
2323,20170301,송파구,0.046,0.024,0.8,0.006,57.0,40.0
2362,20170302,송파구,0.024,0.032,0.5,0.004,31.0,23.0
