dates,parks,away,home,homewin,etcs,times
2019/08/01,잠실,SK,두산,win,-, 17:00 
2019/08/02,잠실,SK,두산,lose,-, 17:00 
2019/08/04,문학,히어로즈,SK,win,-, 18:30 
2019/08/05,문학,히어로즈,SK,win,-, 18:30 
2019/08/06,문학,히어로즈,SK,lose,-, 18:30 
2019/08/08,군산,SK,KIA,win,-, 17:00 
2019/08/09,군산,SK,KIA,win,-, 17:00 
2019/08/12,문학,LG,SK,win,-, 18:30 
2019/08/13,문학,LG,SK,lose,-, 18:30 
2019/08/14,대전,SK,한화,lose,-, 18:30 
2019/08/15,대전,SK,한화,lose,-, 17:00 
2019/08/16,대전,SK,한화,win,-, 17:00 
2019/08/18,사직,SK,롯데,lose,-, 18:30 
2019/08/19,사직,SK,롯데,lose,-, 18:30 
2019/08/20,사직,SK,롯데,lose,-, 18:30 
2019/08/21,문학,KIA,SK,lose,-, 18:30 
2019/08/22,문학,KIA,SK,lose,-, 17:00 
2019/08/23,문학,KIA,SK,lose,-, 17:00 
2019/08/25,문학,두산,SK,win,-, 18:30 
2019/08/27,문학,두산,SK,win,-, 18:30 
2019/08/28,시민,SK,삼성,lose,-, 18:30 
2019/08/29,시민,SK,삼성,lose,-, 17:00 
2019/08/30,시민,SK,삼성,lose,-, 17:00 
2019/08/01,청주,롯데,한화,win,-, 17:00 
2019/08/02,청주,롯데,한화,lose,-, 17:00 
2019/08/04,시민,한화,삼성,win,-, 18:30 
2019/08/05,시민,한화,삼성,win,-, 18:30 
2019/08/06,시민,한화,삼성,win,-, 18:30 
2019/08/08,대전,히어로즈,한화,lose,-, 17:00 
2019/08/09,대전,히어로즈,한화,lose,-, 17:00 
2019/08/12,잠실,한화,두산,win,-, 18:30 
2019/08/13,잠실,한화,두산,win,-, 18:30 
2019/08/18,대전,삼성,한화,lose,-, 18:30 
2019/08/19,대전,삼성,한화,win,-, 18:30 
2019/08/21,목동,한화,히어로즈,lose,-, 18:30 
2019/08/22,목동,한화,히어로즈,win,-, 17:00 
2019/08/23,목동,한화,히어로즈,lose,-, 17:00 
2019/08/25,무등,한화,KIA,win,-, 18:30 
2019/08/26,무등,한화,KIA,win,-, 18:30 
2019/08/27,무등,한화,KIA,lose,-, 18:30 
2019/08/28,대전,LG,한화,win,-, 18:30 
2019/08/29,대전,LG,한화,lose,-, 17:00 
2019/08/30,대전,LG,한화,win,-, 17:00 
2019/08/01,목동,LG,히어로즈,win,-, 17:00 
