date,home,home-away,win_shift,rank_shift,cumsum_win,streak
2017/03/31,두산,5.0,0,0.0,0,1
2017/04/01,두산,0.0,1,1.0,1,-1
2017/04/02,두산,3.0,0,4.0,1,1
2017/04/04,LG,6.0,0,0.0,0,1
2017/04/06,LG,7.0,1,1.0,1,2
2017/04/07,두산,5.0,1,3.0,2,-1
2017/04/08,두산,5.0,0,5.0,2,-2
2017/04/09,두산,5.0,0,5.0,2,-3
2017/04/11,두산,2.0,0,5.0,2,1
2017/04/12,두산,7.0,1,5.0,3,-1
2017/04/13,두산,7.0,0,8.0,3,-2
2017/04/14,LG,2.0,1,1.0,2,3
2017/04/15,LG,2.0,1,4.0,3,-1
2017/04/16,LG,2.0,0,4.0,3,1
2017/04/18,두산,3.0,0,8.0,3,0
2017/04/19,두산,3.0,0,7.0,3,1
2017/04/20,두산,3.0,1,7.0,4,2
2017/04/21,LG,2.0,1,4.0,4,2
2017/04/22,LG,4.0,1,3.0,5,-1
2017/04/23,LG,2.0,0,5.0,5,1
2017/04/25,LG,1.0,1,3.0,6,-1
2017/04/26,LG,0.0,0,4.0,6,1
2017/04/27,LG,1.0,1,3.0,7,2
2017/04/28,두산,1.0,1,7.0,5,3
2017/04/29,두산,1.0,1,6.0,6,4
2017/04/30,두산,2.0,1,5.0,7,-1
2017/05/02,LG,1.0,1,3.0,8,-1
2017/05/03,LG,1.0,0,3.0,8,1
2017/05/04,LG,1.0,1,3.0,9,2
2017/05/05,두산,4.0,0,7.0,7,-2
2017/05/06,두산,4.0,0,7.0,7,-3
2017/05/07,두산,4.0,0,7.0,7,-4
2017/05/10,두산,2.0,0,7.0,7,1
2017/05/11,두산,0.0,1,6.0,8,2
2017/05/12,LG,5.0,1,3.0,10,-1
2017/05/13,LG,4.0,0,3.0,10,-2
2017/05/14,LG,6.0,0,3.0,10,1
2017/05/16,두산,3.0,1,4.0,9,-1
2017/05/17,두산,3.0,0,5.0,9,-2
2017/05/18,두산,3.0,0,5.0,9,1
2017/05/19,LG,3.0,1,2.0,11,-1
2017/05/20,LG,3.0,0,3.0,11,1
2017/05/21,LG,4.0,1,3.0,12,2
2017/05/24,LG,1.0,1,3.0,13,-1
2017/05/25,LG,1.0,0,3.0,13,-2
2017/05/26,두산,5.0,1,5.0,10,-1
2017/05/27,두산,5.0,0,3.0,10,1
2017/05/28,두산,5.0,1,3.0,11,2
2017/05/30,LG,4.0,0,4.0,13,-3
2017/05/31,LG,4.0,0,4.0,13,1
2017/06/01,LG,4.0,1,4.0,14,2
2017/06/02,LG,2.0,1,4.0,15,-1
2017/06/03,LG,3.0,0,4.0,15,-2
