Date,Rate
2017-03-01,3.18471
2017-03-02,0
2017-03-03,0
2017-03-04,0
2017-03-05,3.18471
2017-03-06,4.45859
2017-03-07,8.91719
2017-03-08,3.18471
2017-03-09,31.21019
2017-03-10,12.73885
2017-03-11,4.45859
2017-03-12,5.09554
2017-03-13,8.91719
2017-03-14,14.01273
2017-03-15,12.73885
2017-03-16,10.82802
2017-03-17,5.09554
2017-03-18,7.64331
2017-03-19,6.36942
2017-03-20,5.09554
2017-03-21,19.74522
2017-03-22,19.10828
2017-03-23,8.91719
2017-03-24,17.19745
2017-03-25,13.37579
2017-03-26,21.65605
2017-03-27,12.73885
2017-03-28,7.00636
2017-03-29,13.37579
2017-03-30,11.46496
2017-03-31,33.75796
2017-04-01,30.57324
2017-04-02,38.21656
2017-04-03,31.21019
2017-04-04,63.69426
2017-04-05,46.49681
2017-04-06,63.05732
2017-04-07,64.33121
2017-04-08,74.52229
2017-04-09,56.05095
2017-04-10,31.21019
2017-04-11,40.12738
2017-04-12,38.8535
2017-04-13,40.76433
2017-04-14,47.7707
2017-04-15,68.7898
2017-04-16,50.95541
2017-04-17,26.75159
2017-04-18,54.77707
2017-04-19,46.49681
2017-04-20,36.30573
2017-04-21,57.32484
2017-04-22,57.32484
2017-04-23,57.32484
2017-04-24,35.03184
2017-04-25,46.49681
2017-04-26,33.75796
2017-04-27,43.3121
2017-04-28,49.68152
2017-04-29,45.22292
2017-04-30,38.8535
2017-05-01,26.75159
2017-05-02,42.67515
2017-05-03,53.50318
2017-05-04,64.33121
2017-05-05,54.77707
2017-05-06,57.32484
2017-05-07,48.40764
2017-05-08,34.3949
2017-05-09,42.03821
2017-05-10,40.76433
2017-05-11,53.50318
2017-05-12,66.24203
2017-05-13,59.23566
2017-05-14,52.86624
2017-05-15,25.4777
2017-05-16,45.85987
2017-05-17,40.12738
2017-05-18,49.68152
2017-05-19,48.40764
2017-05-20,45.22292
2017-05-21,43.3121
2017-05-22,27.38853
2017-05-23,36.30573
2017-05-24,39.49044
2017-05-25,42.67515
2017-05-26,38.21656
2017-05-27,56.05095
2017-05-28,61.78343
2017-05-29,31.84713
2017-05-30,64.96815
2017-05-31,48.40764
2017-06-01,42.03821
2017-06-02,41.40127
2017-06-03,40.76433
2017-06-04,45.85987
2017-06-05,32.48407
2017-06-06,22.92993
2017-06-07,26.11464
2017-06-08,35.66878
2017-06-09,33.75796
2017-06-10,50.95541
2017-06-11,54.14012
2017-06-12,20.38216
2017-06-13,42.67515
2017-06-14,37.57961
2017-06-15,45.22292
2017-06-16,49.04458
2017-06-17,33.12101
2017-06-18,52.86624
2017-06-19,28.66242
2017-06-20,46.49681
2017-06-21,58.59872
2017-06-22,46.49681
2017-06-23,38.21656
2017-06-24,22.92993
2017-06-25,26.75159
2017-06-26,15.28662
2017-06-27,33.75796
2017-06-28,64.33121
2017-06-29,28.66242
2017-06-30,33.12101
2017-07-01,31.21019
2017-07-02,43.94904
2017-07-03,22.92993
2017-07-04,22.92993
2017-07-05,21.65605
2017-07-06,20.38216
2017-07-07,26.75159
2017-07-08,39.49044
2017-07-09,43.94904
2017-07-10,26.11464
2017-07-11,33.75796
2017-07-12,21.65605
2017-07-13,27.38853
2017-07-14,19.74522
2017-07-15,10.82802
2017-07-16,12.10191
2017-07-17,12.73885
2017-07-18,41.40127
2017-07-19,30.57324
2017-07-20,20.38216
2017-07-21,30.57324
2017-07-22,19.10828
2017-07-23,21.65605
2017-07-24,17.83439
2017-07-25,26.11464
2017-07-26,28.02547
2017-07-27,24.84076
2017-07-28,26.11464
2017-07-29,22.29299
2017-07-30,29.9363
2017-07-31,24.84076
2017-08-01,32.48407
2017-08-02,31.21019
2017-08-03,33.12101
2017-08-04,31.21019
2017-08-05,38.21656
2017-08-06,35.03184
2017-08-07,29.29936
2017-08-08,26.11464
2017-08-09,29.29936
2017-08-10,30.57324
2017-08-11,32.48407
2017-08-12,26.75159
2017-08-13,19.74522
2017-08-14,20.38216
2017-08-15,22.29299
2017-08-16,14.64968
2017-08-17,29.9363
2017-08-18,22.29299
2017-08-19,29.9363
2017-08-20,15.92356
2017-08-21,12.73885
2017-08-22,25.4777
2017-08-23,15.92356
2017-08-24,25.4777
2017-08-25,18.47133
2017-08-26,29.29936
2017-08-27,31.21019
2017-08-28,12.73885
2017-08-29,24.20382
2017-08-30,22.29299
2017-08-31,22.92993
2017-09-01,34.3949
2017-09-02,32.48407
2017-09-03,18.47133
2017-09-04,17.19745
2017-09-05,22.29299
2017-09-06,14.64968
2017-09-07,20.38216
2017-09-08,28.02547
2017-09-09,33.75796
2017-09-10,28.66242
2017-09-11,14.01273
2017-09-12,27.38853
2017-09-13,15.92356
2017-09-14,29.9363
2017-09-15,33.12101
2017-09-16,31.21019
2017-09-17,29.9363
2017-09-18,17.83439
2017-09-19,28.66242
2017-09-20,38.8535
2017-09-21,32.48407
2017-09-22,28.66242
2017-09-23,32.48407
2017-09-24,35.66878
2017-09-25,21.65605
2017-09-26,33.12101
2017-09-27,14.01273
2017-09-28,22.29299
2017-09-29,36.30573
2017-09-30,37.57961
2017-10-01,22.29299
2017-10-02,7.64331
2017-10-03,47.13375
2017-10-04,23.56687
2017-10-05,16.5605
2017-10-06,12.73885
2017-10-07,15.92356
2017-10-08,12.73885
2017-10-09,20.38216
2017-10-10,8.91719
2017-10-11,6.36942
2017-10-12,3.18471
2017-10-13,8.91719
2017-10-14,11.46496
2017-10-15,10.82802
2017-10-16,6.36942
2017-10-17,10.19108
2017-10-18,6.36942
2017-10-19,14.64968
2017-10-20,28.66242
2017-10-21,14.01273
2017-10-22,7.64331
2017-10-23,4.45859
2017-10-24,5.09554
2017-10-25,7.00636
2017-10-26,15.28662
2017-10-27,5.73248
2017-10-28,6.36942
2017-10-29,6.36942
2017-10-30,19.10828
2017-10-31,10.19108
2017-11-01,11.46496
2017-11-02,12.73885
2017-11-03,0
2017-11-04,0
2017-11-05,5.09554
2017-11-06,11.46496
2017-11-07,7.00636
2017-11-08,5.09554
2017-11-09,4.45859
2017-11-10,0
2017-11-11,7.00636
2017-11-12,4.45859
2017-11-13,10.19108
2017-11-14,3.18471
2017-11-15,0
2017-11-16,4.45859
2017-11-17,0
2017-11-18,5.73248
2017-11-19,8.28025
2017-11-20,8.28025
2017-11-21,12.73885
2017-11-22,60.50955
2017-11-23,17.19745
2017-11-24,10.19108
2017-11-25,10.82802
2017-11-26,22.29299
2017-11-27,13.37579
2017-11-28,29.9363
2017-11-29,9.55414
2017-11-30,10.82802
2017-12-01,5.73248
2017-12-02,5.09554
2017-12-03,7.64331
2017-12-04,8.91719
2017-12-05,6.36942
2017-12-06,5.09554
2017-12-07,3.82165
2017-12-08,5.09554
2017-12-09,5.73248
2017-12-10,4.45859
2017-12-11,9.55414
2017-12-12,6.36942
2017-12-13,3.82165
2017-12-14,3.18471
2017-12-15,0
2017-12-16,0
2017-12-17,0
2017-12-18,0
2017-12-19,29.9363
2017-12-20,6.36942
2017-12-21,6.36942
2017-12-22,26.11464
2017-12-23,15.92356
2017-12-24,10.82802
2017-12-25,7.00636
2017-12-26,5.09554
2017-12-27,7.64331
2017-12-28,0
2017-12-29,3.82165
2017-12-30,0
2017-12-31,0
2018-01-01,3.18471
2018-01-02,3.18471
2018-01-03,0
2018-01-04,5.09554
2018-01-05,7.64331
2018-01-06,0
2018-01-07,0
2018-01-08,0
2018-01-09,0
2018-01-10,0
2018-01-11,3.18471
2018-01-12,0
2018-01-13,0
2018-01-14,0
2018-01-15,0
2018-01-16,0
2018-01-17,0
2018-01-18,3.82165
2018-01-19,0
2018-01-20,0
2018-01-21,0
2018-01-22,0
2018-01-23,0
2018-01-24,0
2018-01-25,0
2018-01-26,0
2018-01-27,0
2018-01-28,3.82165
2018-01-29,0
2018-01-30,0
2018-01-31,0
2018-02-01,0
2018-02-02,3.18471
2018-02-03,0
2018-02-04,0
2018-02-05,0
2018-02-06,3.82165
2018-02-07,3.18471
2018-02-08,3.18471
2018-02-09,0
