date,month,weekday,weekend,rainy,mean_c,O3,PM10,PM25,home,home-away,win_shift,rank_shift,cumsum_win,streak,m_count,m_rate,search,attendance
2017/03/31,3,Friday,0.0,1.0,8.5,0.021,47.0,27.0,두산,5.0,0,0.0,0,1,1038,0.055876685934489405,2.20051,"21,121"
2017/04/01,4,Saturday,1.0,1.0,10.0,0.033,22.0,14.0,두산,0.0,1,1.0,1,-1,2001,0.07746126936531735,5.29584,"20,636"
2017/04/02,4,Sunday,1.0,0.0,9.5,0.037000000000000005,50.0,30.0,두산,3.0,0,4.0,1,1,1864,0.11856223175965665,6.0539,"22,457"
2017/04/04,4,Tuesday,0.0,0.0,14.5,0.033,78.0,37.0,LG,6.0,0,0.0,0,1,1297,0.2058596761757903,63.69426,"16,411"
2017/04/06,4,Thursday,0.0,1.0,10.5,0.027999999999999997,26.0,15.0,LG,7.0,1,1.0,1,2,1369,0.19941563184806427,63.05732,"12,166"
2017/04/07,4,Friday,0.0,0.0,16.5,0.02,44.0,23.0,두산,5.0,1,3.0,2,-1,1838,0.04352557127312296,1.9919900000000001,"10,027"
2017/04/08,4,Saturday,1.0,1.0,14.5,0.021,60.0,34.0,두산,5.0,0,5.0,2,-2,2090,0.09473684210526316,2.92596,"15,278"
2017/04/09,4,Sunday,1.0,1.0,16.0,0.034,37.0,18.0,두산,5.0,0,5.0,2,-3,1659,0.06208559373116336,3.4801699999999998,"13,177"
2017/04/11,4,Tuesday,0.0,0.0,16.0,0.039,61.0,19.0,두산,2.0,0,5.0,2,1,1966,0.06510681586978638,1.79082,"14,895"
2017/04/12,4,Wednesday,0.0,0.0,12.5,0.043,81.0,11.0,두산,7.0,1,5.0,3,-1,1811,0.08282716731087797,1.94239,"13,649"
2017/04/13,4,Thursday,0.0,1.0,13.0,0.04,78.0,22.0,두산,7.0,0,8.0,3,-2,1653,0.08650937689050213,1.8272,"16,213"
2017/04/14,4,Friday,0.0,1.0,14.0,0.051,64.0,22.0,LG,2.0,1,1.0,2,3,1505,0.13089700996677742,47.7707,"9,710"
2017/04/15,4,Saturday,1.0,0.0,17.5,0.044000000000000004,70.0,28.0,LG,2.0,1,4.0,3,-1,1563,0.21305182341650672,68.7898,"17,337"
2017/04/16,4,Sunday,1.0,0.0,18.5,0.028999999999999998,70.0,30.0,LG,2.0,0,4.0,3,1,1482,0.1835357624831309,50.95541,"15,224"
2017/04/18,4,Tuesday,0.0,1.0,13.0,0.026000000000000002,43.0,20.0,두산,3.0,0,8.0,3,0,2334,0.12210796915167095,9.229239999999999,"6,391"
2017/04/19,4,Wednesday,0.0,0.0,12.5,0.032,102.0,17.0,두산,3.0,0,7.0,3,1,1612,0.11600496277915633,5.19029,"8,062"
2017/04/20,4,Thursday,0.0,1.0,14.0,0.027000000000000003,99.0,21.0,두산,3.0,1,7.0,4,2,1826,0.07776560788608981,2.11841,"8,509"
2017/04/21,4,Friday,0.0,0.0,13.5,0.025,81.0,22.0,LG,2.0,1,4.0,4,2,2011,0.16658378915962208,57.32484,"23,263"
2017/04/22,4,Saturday,1.0,0.0,16.0,0.032,64.0,21.0,LG,4.0,1,3.0,5,-1,1993,0.18665328650275967,57.32484,"25,000"
2017/04/23,4,Sunday,1.0,0.0,15.5,0.046,58.0,22.0,LG,2.0,0,5.0,5,1,1786,0.18365061590145576,57.32484,"25,000"
2017/04/25,4,Tuesday,0.0,0.0,16.5,0.040999999999999995,67.0,46.0,LG,1.0,1,3.0,6,-1,1458,0.14266117969821673,46.496809999999996,"10,004"
2017/04/26,4,Wednesday,0.0,0.0,15.5,0.042,49.0,15.0,LG,0.0,0,4.0,6,1,1355,0.1822878228782288,33.75796,"10,730"
2017/04/27,4,Thursday,0.0,0.0,14.0,0.04,52.0,14.0,LG,1.0,1,3.0,7,2,1497,0.2010688042752171,43.3121,"11,111"
2017/04/28,4,Friday,0.0,0.0,15.5,0.045,75.0,23.0,두산,1.0,1,7.0,5,3,1539,0.10396361273554257,1.7641799999999999,"22,131"
2017/04/29,4,Saturday,1.0,0.0,17.0,0.037000000000000005,70.0,25.0,두산,1.0,1,6.0,6,4,1944,0.14351851851851852,4.61601,"25,000"
2017/04/30,4,Sunday,1.0,0.0,21.0,0.07400000000000001,103.0,50.0,두산,2.0,1,5.0,7,-1,1398,0.0994277539341917,2.4980900000000004,"25,000"
2017/05/02,5,Tuesday,0.0,0.0,21.5,0.040999999999999995,106.0,46.0,LG,1.0,1,3.0,8,-1,1579,0.1317289423685877,42.67515,"14,887"
2017/05/03,5,Wednesday,1.0,0.0,22.5,0.049,86.0,35.0,LG,1.0,0,3.0,8,1,1645,0.13556231003039515,53.50318000000001,"20,180"
2017/05/04,5,Thursday,0.0,0.0,21.5,0.032,73.0,33.0,LG,1.0,1,3.0,9,2,1732,0.2546189376443418,64.33121,"18,843"
2017/05/05,5,Friday,1.0,0.0,21.5,0.038,65.0,26.0,두산,4.0,0,7.0,7,-2,2007,0.07473841554559044,1.97976,"25,000"
