date,search,team
2017/03/01,0.39975,두산
2017/03/02,0.46286,두산
2017/03/03,0.35224,두산
2017/03/04,0.32799,두산
2017/03/05,0.33325,두산
2017/03/06,0.67436,두산
2017/03/07,0.7333,두산
2017/03/08,0.67546,두산
2017/03/09,0.74801,두산
2017/03/10,2.58625,두산
2017/03/11,0.78141,두산
2017/03/12,0.61532,두산
2017/03/13,0.80953,두산
2017/03/14,1.11307,두산
2017/03/15,0.92393,두산
2017/03/16,0.93626,두산
2017/03/17,0.79721,두산
2017/03/18,0.83428,두산
2017/03/19,0.79363,두산
2017/03/20,0.89869,두산
2017/03/21,44.19278,두산
2017/03/22,3.27006,두산
2017/03/23,1.35161,두산
2017/03/24,0.71163,두산
2017/03/25,0.8155,두산
2017/03/26,0.87394,두산
2017/03/27,0.7826,두산
2017/03/28,1.09886,두산
2017/03/29,1.13812,두산
2017/03/30,0.847,두산
2017/03/31,2.20051,두산
2017/04/01,5.29584,두산
2017/04/02,6.0539,두산
2017/04/03,1.39803,두산
2017/04/04,2.28509,두산
2017/04/05,1.32229,두산
2017/04/06,1.69739,두산
2017/04/07,1.99199,두산
2017/04/08,2.92596,두산
2017/04/09,3.48017,두산
2017/04/10,1.16366,두산
2017/04/11,1.79082,두산
2017/04/12,1.94239,두산
2017/04/13,1.8272,두산
2017/04/14,1.50696,두산
2017/04/15,1.49454,두산
2017/04/16,1.4028,두산
2017/04/17,1.63597,두산
2017/04/18,9.22924,두산
2017/04/19,5.19029,두산
2017/04/20,2.11841,두산
2017/04/21,2.1204,두산
2017/04/22,1.72095,두산
2017/04/23,1.65893,두산
2017/04/24,1.02094,두산
2017/04/25,5.95103,두산
2017/04/26,3.03609,두산
2017/04/27,4.10643,두산
2017/04/28,1.76418,두산
2017/04/29,4.61601,두산
2017/04/30,2.49809,두산
2017/05/01,0.92115,두산
2017/05/02,1.58657,두산
2017/05/03,1.55477,두산
2017/05/04,1.64034,두산
2017/05/05,1.97976,두산
2017/05/06,1.85731,두산
2017/05/07,2.23122,두산
2017/05/08,1.01329,두산
2017/05/09,1.19915,두산
2017/05/10,1.22837,두산
2017/05/11,1.39167,두산
2017/05/12,1.30589,두산
2017/05/13,1.37288,두산
2017/05/14,1.50696,두산
2017/05/15,0.91042,두산
2017/05/16,1.9907,두산
2017/05/17,4.48769,두산
2017/05/18,1.51849,두산
2017/05/19,1.70684,두산
2017/05/20,1.53201,두산
2017/05/21,1.60228,두산
2017/05/22,0.9291,두산
2017/05/23,1.25948,두산
2017/05/24,1.68268,두산
2017/05/25,3.01422,두산
2017/05/26,3.0832,두산
2017/05/27,2.70353,두산
2017/05/28,2.48656,두산
2017/05/29,1.1082,두산
2017/05/30,1.57733,두산
2017/05/31,1.37417,두산
2017/06/01,1.31215,두산
2017/06/02,2.60682,두산
2017/06/03,2.96691,두산
2017/06/04,2.3326,두산
2017/06/05,1.55844,두산
2017/06/06,3.03589,두산
2017/06/07,4.3731,두산
2017/06/08,2.676,두산
2017/06/09,1.45746,두산
2017/06/10,1.62285,두산
2017/06/11,1.43868,두산
2017/06/12,0.86808,두산
2017/06/13,2.01912,두산
2017/06/14,4.43253,두산
2017/06/15,3.40801,두산
2017/06/16,1.56292,두산
2017/06/17,1.6643,두산
2017/06/18,1.76607,두산
2017/06/19,1.00096,두산
2017/06/20,1.3041,두산
2017/06/21,1.37129,두산
2017/06/22,1.39594,두산
2017/06/23,1.41622,두산
2017/06/24,1.63428,두산
2017/06/25,1.51342,두산
2017/06/26,0.83548,두산
2017/06/27,1.24854,두산
2017/06/28,1.25073,두산
2017/06/29,1.27637,두산
2017/06/30,1.25779,두산
2017/07/01,2.24126,두산
2017/07/02,100.0,두산
2017/07/03,2.28271,두산
2017/07/04,1.87481,두산
2017/07/05,1.50845,두산
2017/07/06,1.21545,두산
2017/07/07,1.07779,두산
2017/07/08,0.89133,두산
2017/07/09,1.01428,두산
2017/07/10,0.60548,두산
2017/07/11,2.38697,두산
2017/07/12,5.94765,두산
2017/07/13,1.19259,두산
2017/07/14,0.73797,두산
2017/07/15,0.48472,두산
2017/07/16,0.44368,두산
2017/07/17,0.51941,두산
2017/07/18,2.60294,두산
2017/07/19,4.57168,두산
2017/07/20,1.24795,두산
2017/07/21,1.2557,두산
2017/07/22,1.33909,두산
2017/07/23,1.46184,두산
2017/07/24,0.93387,두산
2017/07/25,1.19507,두산
2017/07/26,1.43053,두산
2017/07/27,1.55964,두산
2017/07/28,2.01872,두산
2017/07/29,3.61186,두산
2017/07/30,1.5493,두산
2017/07/31,0.93984,두산
2017/08/01,1.23851,두산
2017/08/02,1.47655,두산
2017/08/03,1.41005,두산
2017/08/04,1.60794,두산
2017/08/05,1.70495,두산
2017/08/06,1.80523,두산
2017/08/07,1.77919,두산
2017/08/08,2.91493,두산
2017/08/09,1.99934,두산
2017/08/10,1.62265,두산
2017/08/11,1.48331,두산
2017/08/12,1.43679,두산
2017/08/13,2.00908,두산
