date,weekday,datename,weekend,행정구,맑음,눈/비,min_c,max_c,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
2017/01/01,Sunday,신정,1.0,송파구,1.0,0.0,-2.0,7.0,송파구,0.04,0.004,1.2,0.005,64.0,49.0
2017/01/02,Monday,,,송파구,0.0,1.0,2.0,9.0,송파구,0.037000000000000005,0.017,1.0,0.005,93.0,64.0
2017/01/03,Tuesday,,,송파구,1.0,0.0,-2.0,8.0,송파구,0.038,0.017,0.9,0.006,76.0,47.0
2017/01/04,Wednesday,,,송파구,1.0,0.0,1.0,9.0,송파구,0.047,0.008,1.1,0.006,55.0,33.0
2017/01/05,Thursday,,,송파구,1.0,0.0,0.0,7.0,송파구,0.032,0.014,0.8,0.006,31.0,19.0
2017/01/06,Friday,,,송파구,1.0,0.0,3.0,11.0,송파구,0.032,0.016,0.6,0.005,22.0,13.0
2017/01/07,Saturday,,1.0,송파구,1.0,0.0,0.0,11.0,송파구,0.044,0.005,1.0,0.006,48.0,31.0
2017/01/08,Sunday,,1.0,송파구,0.0,1.0,4.0,11.0,송파구,0.032,0.017,0.7,0.004,28.0,20.0
2017/01/09,Monday,,,송파구,0.0,1.0,-3.0,4.0,송파구,0.02,0.032,0.7,0.005,57.0,41.0
2017/01/10,Tuesday,,,송파구,1.0,0.0,-7.0,1.0,송파구,0.018000000000000002,0.027000000000000003,0.4,0.005,30.0,13.0
2017/01/11,Wednesday,,,송파구,1.0,0.0,-9.0,2.0,송파구,0.026,0.019,0.4,0.004,24.0,10.0
2017/01/12,Thursday,,,송파구,0.0,1.0,-6.0,1.0,송파구,0.028,0.018000000000000002,0.6,0.005,33.0,14.0
2017/01/13,Friday,,,송파구,0.0,1.0,-9.0,-1.0,송파구,0.018000000000000002,0.026,0.4,0.004,40.0,11.0
2017/01/14,Saturday,,1.0,송파구,1.0,0.0,-11.0,-5.0,송파구,0.012,0.028,0.3,0.005,47.0,10.0
2017/01/15,Sunday,,1.0,송파구,1.0,0.0,-12.0,-1.0,송파구,0.021,0.018000000000000002,0.4,0.004,27.0,13.0
2017/01/16,Monday,,,송파구,1.0,0.0,-9.0,4.0,송파구,0.042,0.006,1.0,0.006,58.0,31.0
2017/01/17,Tuesday,,,송파구,1.0,0.0,-7.0,3.0,송파구,0.057,0.003,1.4,0.008,66.0,43.0
2017/01/18,Wednesday,,,송파구,0.0,1.0,-3.0,3.0,송파구,0.065,0.003,1.6,0.008,94.0,68.0
2017/01/19,Thursday,,,송파구,1.0,0.0,-5.0,5.0,송파구,0.058,0.004,1.3,0.006,105.0,65.0
2017/01/20,Friday,,,송파구,0.0,1.0,-8.0,-1.0,송파구,0.035,0.017,0.6,0.005,53.0,32.0
2017/01/21,Saturday,,1.0,송파구,0.0,1.0,-10.0,-1.0,송파구,0.044,0.006999999999999999,0.8,0.005,54.0,36.0
2017/01/22,Sunday,,1.0,송파구,0.0,1.0,-11.0,-3.0,송파구,0.014,0.032,0.5,0.006,78.0,23.0
2017/01/23,Monday,,,송파구,1.0,0.0,-13.0,-4.0,송파구,0.025,0.024,0.5,0.005,45.0,30.0
2017/01/24,Tuesday,,,송파구,1.0,0.0,-12.0,-1.0,송파구,0.045,0.011,0.8,0.006,43.0,29.0
2017/01/25,Wednesday,,,송파구,1.0,0.0,-10.0,1.0,송파구,0.058,0.006999999999999999,1.1,0.006,54.0,39.0
2017/01/26,Thursday,,,송파구,0.0,1.0,-8.0,3.0,송파구,0.058,0.01,1.2,0.006999999999999999,64.0,45.0
2017/01/27,Friday,설날,1.0,송파구,0.0,1.0,-6.0,3.0,송파구,0.016,0.03,0.5,0.004,126.0,17.0
2017/01/28,Saturday,설날,1.0,송파구,1.0,0.0,-8.0,4.0,송파구,0.031,0.012,0.6,0.005,36.0,12.0
2017/01/29,Sunday,설날,1.0,송파구,0.0,1.0,-1.0,3.0,송파구,0.035,0.005,0.7,0.005,24.0,13.0
2017/01/30,Monday,대체공휴일,1.0,송파구,0.0,1.0,-8.0,-1.0,송파구,0.017,0.029,0.5,0.005,49.0,30.0
2017/01/31,Tuesday,,,송파구,1.0,0.0,-10.0,0.0,송파구,0.042,0.006999999999999999,0.7,0.004,34.0,20.0
2017/02/01,Wednesday,,,송파구,1.0,0.0,-8.0,1.0,송파구,0.035,0.016,0.9,0.005,39.0,20.0
2017/02/02,Thursday,,,송파구,1.0,0.0,-9.0,3.0,송파구,0.036000000000000004,0.015,0.6,0.004,35.0,15.0
2017/02/03,Friday,,,송파구,1.0,0.0,-2.0,7.0,송파구,0.045,0.02,0.9,0.006,64.0,40.0
2017/02/04,Saturday,,1.0,송파구,1.0,0.0,-3.0,3.0,송파구,0.06,0.004,1.3,0.005,94.0,63.0
2017/02/05,Sunday,,1.0,송파구,0.0,1.0,-2.0,2.0,송파구,0.037000000000000005,0.018000000000000002,0.9,0.005,60.0,46.0
2017/02/06,Monday,,,송파구,1.0,0.0,-4.0,3.0,송파구,0.022,0.032,0.5,0.005,40.0,24.0
2017/02/07,Tuesday,,,송파구,1.0,0.0,-6.0,3.0,송파구,0.044,0.008,0.7,0.005,43.0,22.0
2017/02/08,Wednesday,,,송파구,1.0,0.0,-5.0,1.0,송파구,0.048,0.008,0.9,0.006,61.0,32.0
2017/02/09,Thursday,,,송파구,1.0,0.0,-7.0,-2.0,송파구,0.017,0.03,0.4,0.004,54.0,16.0
2017/02/10,Friday,,,송파구,1.0,0.0,-9.0,-3.0,송파구,0.014,0.032,0.4,0.004,33.0,15.0
2017/02/11,Saturday,,1.0,송파구,1.0,0.0,-9.0,1.0,송파구,0.017,0.028,0.3,0.005,29.0,14.0
2017/02/12,Sunday,,1.0,송파구,1.0,0.0,-7.0,4.0,송파구,0.028,0.02,0.6,0.005,31.0,17.0
2017/02/13,Monday,,,송파구,1.0,0.0,-5.0,6.0,송파구,0.05,0.006999999999999999,0.9,0.005,47.0,26.0
2017/02/14,Tuesday,,,송파구,1.0,0.0,-4.0,7.0,송파구,0.045,0.013,0.8,0.005,51.0,29.0
2017/02/15,Wednesday,,,송파구,1.0,0.0,-4.0,8.0,송파구,0.061,0.008,1.1,0.008,66.0,40.0
2017/02/16,Thursday,,,송파구,0.0,1.0,-2.0,10.0,송파구,0.054000000000000006,0.015,1.1,0.006999999999999999,69.0,44.0
2017/02/17,Friday,,,송파구,0.0,1.0,-5.0,9.0,송파구,0.021,0.029,0.4,0.004,48.0,18.0
2017/02/18,Saturday,,1.0,송파구,1.0,0.0,-7.0,3.0,송파구,0.023,0.03,0.4,0.004,32.0,18.0
2017/02/19,Sunday,,1.0,송파구,0.0,1.0,-3.0,6.0,송파구,0.033,0.022,0.6,0.005,42.0,27.0
2017/02/20,Monday,,,송파구,0.0,1.0,-5.0,5.0,송파구,0.018000000000000002,0.034,0.4,0.004,44.0,26.0
2017/02/21,Tuesday,,,송파구,1.0,0.0,-8.0,7.0,송파구,0.04,0.016,0.6,0.005,47.0,33.0
2017/02/22,Wednesday,,,송파구,0.0,1.0,-1.0,3.0,송파구,0.043,0.008,0.8,0.005,40.0,29.0
